City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Country,Date
486,Sabang,5.89,95.32,79.77,76,100,7.56,overcast clouds,ID,2020-11-29 16:48:26
487,Ikom,5.97,8.71,83.26,55,97,2.64,overcast clouds,NG,2020-11-29 16:48:26
488,Sirari,-1.23,34.43,64.4,93,100,3.44,moderate rain,TZ,2020-11-29 16:48:26
489,Manawar,22.23,75.08,74.61,49,0,3.51,clear sky,IN,2020-11-29 16:48:26
490,Xingyi,24.19,102.82,46.63,95,34,2.48,scattered clouds,CN,2020-11-29 16:48:27
491,Faya,18.39,42.45,62.6,77,0,2.48,clear sky,SA,2020-11-29 16:43:28
492,Koutiala,12.39,-5.46,94.1,17,17,7.14,few clouds,ML,2020-11-29 16:48:27
493,Catuday,16.29,119.81,78.55,77,20,8.99,few clouds,PH,2020-11-29 16:48:27
494,Sampit,-2.53,112.95,72.39,97,100,2.39,light rain,ID,2020-11-29 16:48:27
495,Manbij,36.53,37.95,51.8,71,0,9.17,clear sky,SY,2020-11-29 16:43:35
496,Rioja,-29.41,-66.85,93.58,35,1,7.11,light rain,AR,2020-11-29 16:45:16
497,Kawalu,-7.38,108.21,71.22,92,100,0.34,overcast clouds,ID,2020-11-29 16:48:27
498,Rio Grande,-32.03,-52.1,84.2,62,75,6.93,broken clouds,BR,2020-11-29 16:34:10
499,Pendencias,-5.26,-36.72,92.62,43,67,16.87,broken clouds,BR,2020-11-29 16:48:28
500,Eirunepe,-6.66,-69.87,93.25,51,97,2.28,light rain,BR,2020-11-29 16:48:28
501,Sabha,27.04,14.43,59.67,32,32,6.15,scattered clouds,LY,2020-11-29 16:48:28
502,Haines Junction,60.75,-137.51,30.2,92,97,2.24,snow,CA,2020-11-29 16:43:35
503,Agadir,30.42,-9.6,68.0,52,75,4.7,broken clouds,MA,2020-11-29 16:44:22
504,Rapid Valley,44.06,-103.15,33.01,46,1,21.92,clear sky,US,2020-11-29 16:48:28
505,Ancud,-41.87,-73.82,60.01,62,90,3.36,overcast clouds,CL,2020-11-29 16:43:34
506,Mendi,-6.18,143.65,56.53,99,100,2.48,light rain,PG,2020-11-29 16:48:28
507,Maragogi,-9.01,-35.22,81.64,61,31,12.28,scattered clouds,BR,2020-11-29 16:48:28
508,Sestao,43.31,-3.01,62.6,67,0,5.82,clear sky,ES,2020-11-29 16:48:28
509,Gerash,27.67,54.14,62.6,55,40,4.7,scattered clouds,IR,2020-11-29 16:48:29
510,Kysyl-Syr,63.9,122.76,-10.61,90,100,6.85,overcast clouds,RU,2020-11-29 16:38:41
511,Mulchen,-37.72,-72.23,68.0,12,0,18.34,clear sky,CL,2020-11-29 16:48:29
512,Bolobo,-2.17,16.23,79.43,63,34,3.0,scattered clouds,CD,2020-11-29 16:48:29
513,Ferrol,43.48,-8.24,59.0,80,100,6.29,overcast clouds,ES,2020-11-29 16:48:29
514,Matara,5.95,80.54,77.63,87,95,2.75,overcast clouds,LK,2020-11-29 16:48:29
515,Feijo,-8.16,-70.35,93.29,44,95,3.56,overcast clouds,BR,2020-11-29 16:48:29
516,Ilo,-17.64,-71.34,70.25,71,94,9.06,overcast clouds,PE,2020-11-29 16:43:50
517,Danielskuil,-28.19,23.54,79.83,30,60,6.8,broken clouds,ZA,2020-11-29 16:48:29
518,Axim,4.87,-2.24,81.16,82,62,7.36,light rain,GH,2020-11-29 16:48:29
519,Llanes,43.42,-4.75,61.0,74,62,2.68,broken clouds,ES,2020-11-29 16:48:30
520,Tipuani,-15.56,-68.02,92.48,43,38,2.1,light rain,BO,2020-11-29 16:48:30
521,Saldanha,-33.01,17.94,69.8,52,0,20.8,clear sky,ZA,2020-11-29 16:48:30
522,Mikkeli,61.69,27.27,30.2,92,90,4.7,overcast clouds,FI,2020-11-29 16:48:30
523,Saint Anthony,45.02,-93.22,37.0,51,90,18.34,overcast clouds,US,2020-11-29 16:48:30
524,Namatanai,-3.67,152.43,77.14,87,100,11.83,light rain,PG,2020-11-29 16:48:30
525,Las Palmas,28.42,-14.01,66.2,82,75,10.29,broken clouds,ES,2020-11-29 16:48:31
526,Kununurra,-15.77,128.73,84.2,74,57,3.36,light rain,AU,2020-11-29 16:38:36
527,Sitka,57.05,-135.33,42.8,75,90,11.41,overcast clouds,US,2020-11-29 16:48:31
528,Douentza,15.0,-2.95,91.0,14,0,6.38,clear sky,ML,2020-11-29 16:48:31
529,Sistranda,63.73,8.83,35.6,80,0,24.16,clear sky,NO,2020-11-29 16:48:31
530,Amapa,1.0,-52.0,82.89,87,58,3.67,broken clouds,BR,2020-11-29 16:48:31
531,Bonavista,48.65,-53.11,41.0,100,100,8.05,overcast clouds,CA,2020-11-29 16:44:11
532,Lagunas,-5.23,-75.68,86.88,69,72,2.17,moderate rain,PE,2020-11-29 16:48:32
533,Bemidji,47.47,-94.88,23.0,73,90,21.92,overcast clouds,US,2020-11-29 16:48:32
534,Sechura,-5.56,-80.82,78.24,55,96,10.63,overcast clouds,PE,2020-11-29 16:48:32
535,Jalu,29.03,21.55,65.52,28,0,10.36,clear sky,LY,2020-11-29 16:48:32
536,Stornoway,58.21,-6.39,48.2,81,40,17.22,scattered clouds,GB,2020-11-29 16:48:32
537,Quzhou,28.96,118.87,47.95,79,100,6.2,overcast clouds,CN,2020-11-29 16:48:32
538,Dori,14.04,-0.03,92.75,18,0,6.8,clear sky,BF,2020-11-29 16:48:28
